 table_schema |             table_name              |         column_name          |          data_type          | character_maximum_length 
--------------+-------------------------------------+------------------------------+-----------------------------+--------------------------
 nspprod      | data_applicant_registration_details | registered_date              | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | date_of_birth                | date                        |                         
 nspprod      | data_applicant_registration_details | category_id                  | numeric                     |                         
 nspprod      | data_applicant_registration_details | is_minority                  | boolean                     |                         
 nspprod      | data_applicant_registration_details | disability_flag              | boolean                     |                         
 nspprod      | data_applicant_registration_details | disablity_type               | integer                     |                         
 nspprod      | data_applicant_registration_details | disability_percentage        | integer                     |                         
 nspprod      | data_applicant_registration_details | orphan_flag                  | boolean                     |                         
 nspprod      | data_applicant_registration_details | hosteller                    | boolean                     |                         
 nspprod      | data_applicant_registration_details | annual_family_income         | integer                     |                         
 nspprod      | data_applicant_registration_details | marital_status               | integer                     |                         
 nspprod      | data_applicant_registration_details | parent_occupation            | integer                     |                         
 nspprod      | data_applicant_registration_details | bank_id                      | numeric                     |                         
 nspprod      | data_applicant_registration_details | permanent_state_id           | numeric                     |                         
 nspprod      | data_applicant_registration_details | permanent_district_id        | numeric                     |                         
 nspprod      | data_applicant_registration_details | permanent_mandal_id          | numeric                     |                         
 nspprod      | data_applicant_registration_details | permanent_village_id         | numeric                     |                         
 nspprod      | data_applicant_registration_details | permanent_pincode            | numeric                     |                         
 nspprod      | data_applicant_registration_details | mobile_no                    | numeric                     |                         
 nspprod      | data_applicant_registration_details | application_level            | numeric                     |                         
 nspprod      | data_applicant_registration_details | updated_on                   | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | created_on                   | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | religion                     | integer                     |                         
 nspprod      | data_applicant_registration_details | admission_fee                | numeric                     |                         
 nspprod      | data_applicant_registration_details | tution_fee                   | numeric                     |                         
 nspprod      | data_applicant_registration_details | class_start_date             | date                        |                         
 nspprod      | data_applicant_registration_details | pre_post_matric              | integer                     |                         
 nspprod      | data_applicant_registration_details | inst_verify_by               | numeric                     |                         
 nspprod      | data_applicant_registration_details | inst_verify_date             | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | modeofstudy                  | integer                     |                         
 nspprod      | data_applicant_registration_details | misc_fee                     | integer                     |                         
 nspprod      | data_applicant_registration_details | dist_verify_by               | numeric                     |                         
 nspprod      | data_applicant_registration_details | dist_verify_date             | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | state_verify_by              | numeric                     |                         
 nspprod      | data_applicant_registration_details | state_verify_date            | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | min_verify_by                | numeric                     |                         
 nspprod      | data_applicant_registration_details | min_verify_date              | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | deleted_by                   | integer                     |                         
 nspprod      | data_applicant_registration_details | delete_on                    | timestamp without time zone |                         
 nspprod      | data_applicant_registration_details | deleted_by_level             | integer                     |                         
 nspprod      | data_applicant_registration_details | rank                         | bigint                      |                         
 nspprod      | data_applicant_registration_details | outofquota                   | integer                     |                         
 nspprod      | data_applicant_registration_details | is_selected                  | boolean                     |                         
 nspprod      | data_applicant_registration_details | lot_number                   | bigint                      |                         
 nspprod      | data_applicant_registration_details | approved_date                | timestamp with time zone    |                         
 nspprod      | data_applicant_registration_details | entitled_fee_amount          | numeric                     |                         
 nspprod      | data_applicant_registration_details | entitled_lumpsump_amount     | numeric                     |                         
